id	descricao	nome	unidade	preco	preco_venda	atacado	preco_atacado	Qtde_Atacado	preco_promocao	data_Promocao	inicio_promocao	ICMS	NCM	CTS	estoque	estoqueminimo	ctrlEstoque	vender_inteiro	pro_individual	UsarBalanca	grupo	Subgrupo	marca	categoria	temanho	ForaDeUso	Validade	TipoRelatorio	Lucro	comissao	foto	obs	fornecedor	idFornecedor	status	cozinha	idcategoria	CriaBotao	imagem	grade	obsText
34	DESINFETANTE EUCALIPTO 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
36	DESINFETANTE CASA LIMPA 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
37	DESINFETANTE LAVANDA 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	-3.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
38	DESINFETANTE REVEILLON 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
39	DESINFETANTE TALCO 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
40	DESINFETANTE PINHO SOL 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	1	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
41	DESINFETANTE CITRONELA 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
42	DESINFETANTE CAPIM LIMAãÆO 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
43	DESINFETANTE NATUREZA 5 LITROS	NULL	UNID	3.33	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.17	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
44	DESINFETANTE FLORAL 5 LITROS	NULL	UNID	4.12	11.50	11.50	11.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
45	MATA INSETOS 1 LITRO	NULL	UNID	4.23	25.00	25.00	25.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	20.77	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
46	LIMPA CANO SUPER 1 LITRO	NULL	UNID	0.00	20.00	20.00	20.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	6.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	20.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
47	LIMPA CONCRETO 2 LITROS	NULL	UNID	2.05	19.90	17.00	17.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	17.85	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
49	VEJAX MULTIUSO 2 LITROS	NULL	UNID	4.00	12.00	12.00	12.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
50	VEJAX MULTIUSO 5 LITROS	NULL	UNID	6.06	24.90	6.50	24.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	18.84	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
51	PERFUME PARA BANHEIRO 2 LITROS	NULL	UNID	2.11	16.00	16.00	16.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	13.89	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
52	PERFUME PARA BANHEIRO 5 LITROS	NULL	UNID	3.33	39.90	39.90	39.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	36.57	0.00	NULL			0	0	0	3	1	52.jpg	0	NULL
54	ALVEJANTE SEM CLORO 2 LITROS	NULL	UNID	2.37	10.00	10.00	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.63	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
55	ALVEJANTE SEM CLORO 5 LITROS	NULL	UNID	3.95	20.00	20.00	20.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	16.05	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
56	AMACIANTE DOWNIE 2 LITROS	NULL	UNID	2.29	10.00	10.00	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.71	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
57	AMACIANTE CONFORTO 2 LITROS	NULL	UNID	2.27	10.00	10.00	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	7.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.73	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
58	AMACIANTE MAMAE BEBE 2 LITROS	NULL	UNID	2.29	10.00	10.00	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	7.71	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
60	SABAãÆO LIQUIDO OMUS 2 LITROS	NULL	UNID	4.23	14.00	14.00	14.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	9.77	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
62	SABAãÆO LIQUIDO DE COCO 2 LITROS	NULL	UNID	4.23	14.00	14.00	14.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	9.77	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
63	SABAãÆO LIQUIDO COM BICARBONATO 2 LITROS	NULL	UNID	3.81	18.00	18.00	18.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	14.19	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
65	SABAãÆO LIQUIDO DINAMUS 2 LITROS	NULL	UNID	3.81	14.00	14.00	14.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	10.19	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
66	SABAãÆO LIQUIDO OMUS 5 LITROS	NULL	UNID	9.89	29.90	29.90	29.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	-3.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	20.01	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
67	SABAO LIQUIDO ARIEX 5 LITROS	NULL	UNID	7.57	24.90	24.90	24.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	10.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	SIM	NULL	NULL	17.33	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
68	SABAãÆO LIQUIDO DE COCO 5 LITROS	NULL	UNID	9.89	29.90	29.90	29.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	20.01	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
70	SABAãÆO LIQUIDO DINAMUS 5 LITROS	NULL	UNID	29.90	29.90	29.90	29.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	1	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	0.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
71	DESINFETANTE FLOR DE CEREJEIRA 2 LITROS	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	17/02/2025	17/02/2025	NULL	0	0	6.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
72	DESINFETANTE MARINE 2 LITROS	NULL	UNID	1.93	6.50	6.50	6.500	0	0.00	17/02/2025	17/02/2025	NULL	0	0	9.000	0.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	4.57	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
75	PNEU PRETINHO 500ML	NULL	UNID	0.00	8.00	8.00	8.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	6.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	8.00	0.00	NULL			0	0	0	3	1	75.jpg	0	NULL
76	PNEU PRETINHO 1 LITRO	NULL	UNID	2.06	15.00	15.00	15.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	12.94	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
77	JET CERA 500ML	NULL	UNID	0.00	9.90	9.90	9.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	9.90	0.00	NULL			0	0	0	0	1	77.jpg	0	NULL
78	SHAMPOO COM CERA 2 LITROS	NULL	UNID	7.73	18.00	18.00	18.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	10.27	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
79	SHAMPOO COM CERA 1 LITRO	NULL	UNID	4.23	10.00	10.00	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	5.77	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
80	BLOCO DE ESPUMA	NULL	UNID	3.50	8.50	8.50	8.500	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	5.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
82	LIMPA BAU 2 LITROS	NULL	UNID	4.53	18.00	18.00	18.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	4.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	13.47	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
83	LIMPA BAU 5 LITROS	NULL	UNID	10.64	39.90	39.90	39.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	29.26	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
84	CLORO GEL 1 LITRO	NULL	UNID	8.00	8.00	8.00	8.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	0.000	5.000	1	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	0.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
85	CLORO GEL 2 LITROS	NULL	UNID	3.99	15.90	15.90	15.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	9.000	5.000	1	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	11.91	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
